refresh_schedule,model,period_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,long_days,short_days,cash_days,turnover,transaction_cost,short_borrow_cost,winner
biweekly,logistic_regression,1,2018-10-16,2018-10-29,10,-0.04504295590310137,0.07119093730660109,0.11623389320970245,-0.059154993854353966,-0.014828491759842355,2,8,0,9.0,0.0009000000000000001,7.936507936507937e-05,our_model
biweekly,logistic_regression,2,2018-10-30,2018-11-12,10,0.016021188847176404,-0.01708866625994865,-0.03310985510712505,-0.03184964665807111,-0.03763844659577453,0,10,0,0.0,0.0,9.92063492063492e-05,SPY
biweekly,logistic_regression,3,2018-11-13,2018-11-26,9,-0.013452809035670255,0.07374530050741912,0.08719810954308937,-0.038285917860201746,-0.0035743987040496306,3,6,0,12.0,0.0012000000000000001,5.9523809523809524e-05,our_model
biweekly,logistic_regression,4,2018-11-27,2018-12-10,9,-0.015909113281631138,0.05353734048891745,0.06944645377054859,-0.056319457339832346,-0.02491309041600176,7,2,0,10.0,0.001,1.984126984126984e-05,our_model
biweekly,logistic_regression,5,2018-12-11,2018-12-24,10,-0.06251631586355644,-0.06251631586355644,0.0,-0.11207571316845566,-0.11207571316845566,10,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,6,2018-12-26,2019-01-07,8,0.04301746378882121,-0.008396576550124046,-0.051414040338945255,-0.023862734003634034,-0.023862734003634034,5,3,0,6.0,0.0006000000000000001,2.9761904761904762e-05,SPY
biweekly,logistic_regression,7,2019-01-08,2019-01-18,9,0.023717557809707746,-0.02386691963981935,-0.047584477449527096,-0.01351060956687622,-0.03439916112311814,0,9,0,0.0,0.0,8.928571428571429e-05,SPY
biweekly,logistic_regression,8,2019-01-22,2019-02-04,10,0.03895634582564078,-0.03810229535530241,-0.07705864118094319,-0.008917570250421392,-0.036075844364408916,0,10,0,0.0,0.0,9.92063492063492e-05,SPY
biweekly,logistic_regression,9,2019-02-05,2019-02-15,9,0.01739263983579331,-0.012885098354427083,-0.030277738190220393,-0.009532536421418603,-0.026486677385531787,6,3,0,6.0,0.0006000000000000001,2.9761904761904762e-05,SPY
biweekly,logistic_regression,10,2019-02-19,2019-03-04,10,0.004210857041057059,-0.004606270223113218,-0.008817127264170277,-0.004992691100709323,-0.01083943120694253,0,10,0,2.0,0.0002,9.92063492063492e-05,SPY
biweekly,logistic_regression,11,2019-03-05,2019-03-18,10,0.016572105245880042,-0.00901084464268942,-0.02558294988856946,-0.010348928850437478,-0.018696300194408044,3,7,0,4.0,0.0004,6.944444444444444e-05,SPY
biweekly,logistic_regression,12,2019-03-19,2019-04-01,10,0.012641708219979009,-0.015226492559276883,-0.02786820077925589,-0.01998396201460717,-0.02568801451840763,1,9,0,4.0,0.0004,8.928571428571429e-05,SPY
biweekly,logistic_regression,13,2019-04-02,2019-04-15,10,0.014651774504435444,-0.007788029913992078,-0.022439804418427522,-0.005125159962783732,-0.009149146353585103,4,6,0,12.0,0.0012000000000000001,5.9523809523809524e-05,SPY
biweekly,logistic_regression,14,2019-04-16,2019-04-29,9,0.0133027901480669,0.013099632509750325,-0.00020315763831657563,-0.002833988659870279,-0.002833988659870279,9,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,15,2019-04-30,2019-05-13,10,-0.036119882052624286,-0.036119882052624286,0.0,-0.044791700718917915,-0.044791700718917915,10,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,16,2019-05-14,2019-05-24,9,-0.011467676742315525,-0.011467676742315525,0.0,-0.026242620563410313,-0.026242620563410313,9,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,17,2019-05-28,2019-06-10,10,0.03123324480477918,0.018308281021688577,-0.012924963783090604,-0.015983767066657384,-0.018879744531256293,6,4,0,10.0,0.001,3.968253968253968e-05,SPY
biweekly,logistic_regression,18,2019-06-11,2019-06-24,10,0.011333531938286567,-0.011264065783631927,-0.022597597721918494,-0.012457924942724241,-0.025166276679816968,1,9,0,4.0,0.0004,8.928571428571429e-05,SPY
biweekly,logistic_regression,19,2019-06-25,2019-07-08,9,0.022114174868156145,-0.011841652373079659,-0.0339558272412358,-0.006626609057553412,-0.01770305686953766,5,4,0,2.0,0.0002,3.968253968253968e-05,SPY
biweekly,logistic_regression,20,2019-07-09,2019-07-22,10,0.009556292333721128,-0.00045146767355153106,-0.010007760007272659,-0.01190362734829109,-0.009609111279520799,1,9,0,2.0,0.0002,8.928571428571429e-05,SPY
biweekly,logistic_regression,21,2019-07-23,2019-08-05,10,-0.04076273724996404,-0.040953687329781996,-0.0001909500798179531,-0.06023014707042673,-0.0602301470704264,10,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,22,2019-08-06,2019-08-19,10,0.007957181498995158,0.033609626680403126,0.025652445181407968,-0.0331037799639784,-0.019629855481229752,4,6,0,4.0,0.0004,5.9523809523809524e-05,our_model
biweekly,logistic_regression,23,2019-08-20,2019-08-30,9,0.0022403524908245487,0.05529608178350798,0.05305572929268343,-0.025986902820108737,-0.006288870785065903,7,2,0,4.0,0.0004,1.984126984126984e-05,our_model
biweekly,logistic_regression,24,2019-09-03,2019-09-16,10,0.03501392614527754,-0.034482189672496055,-0.0694961158177736,-0.003750307383853624,-0.024344525788557392,0,10,0,2.0,0.0002,9.92063492063492e-05,SPY
