sizing_config,position,day_rate,days
discrete_full,-1.0,0.3624161073825503,702
discrete_full,1.0,0.6375838926174496,1235
fractional_half_20bp_edge,-1.0,0.32266391326794014,625
fractional_half_20bp_edge,-0.5,0.024264326277749097,47
fractional_half_20bp_edge,0.0,0.03304078471863707,64
fractional_half_20bp_edge,0.5,0.03820340733092411,74
fractional_half_20bp_edge,1.0,0.5818275684047496,1127
fractional_quarter_100bp_edge,-1.0,0.05059370160041301,98
fractional_quarter_100bp_edge,-0.75,0.06298399586990192,122
fractional_quarter_100bp_edge,-0.5,0.1254517294785751,243
fractional_quarter_100bp_edge,-0.25,0.09034589571502323,175
fractional_quarter_100bp_edge,0.0,0.07743933918430562,150
fractional_quarter_100bp_edge,0.25,0.10170366546205473,197
fractional_quarter_100bp_edge,0.5,0.22354155911202891,433
fractional_quarter_100bp_edge,0.75,0.24367578729994838,472
fractional_quarter_100bp_edge,1.0,0.024264326277749097,47
fractional_quarter_10bp_edge,-1.0,0.33815178110480126,655
fractional_quarter_10bp_edge,-0.75,0.007227671657201859,14
fractional_quarter_10bp_edge,-0.5,0.004130098089829634,8
fractional_quarter_10bp_edge,-0.25,0.00980898296334538,19
fractional_quarter_10bp_edge,0.0,0.007227671657201859,14
fractional_quarter_10bp_edge,0.25,0.010325245224574084,20
fractional_quarter_10bp_edge,0.5,0.006711409395973154,13
fractional_quarter_10bp_edge,0.75,0.00980898296334538,19
fractional_quarter_10bp_edge,1.0,0.6066081569437274,1175
fractional_quarter_20bp_edge,-1.0,0.31388745482705216,608
fractional_quarter_20bp_edge,-0.75,0.015487867836861126,30
fractional_quarter_20bp_edge,-0.5,0.012906556530717605,25
fractional_quarter_20bp_edge,-0.25,0.012906556530717605,25
fractional_quarter_20bp_edge,0.0,0.016520392359318535,32
fractional_quarter_20bp_edge,0.25,0.018069179143004648,35
fractional_quarter_20bp_edge,0.5,0.017036654620547237,33
fractional_quarter_20bp_edge,0.75,0.021683014971605574,42
fractional_quarter_20bp_edge,1.0,0.5715023231801756,1107
fractional_quarter_30bp_edge,-1.0,0.2829117191533299,548
fractional_quarter_30bp_edge,-0.75,0.027361899845121322,53
fractional_quarter_30bp_edge,-0.5,0.02219927723283428,43
fractional_quarter_30bp_edge,-0.25,0.017036654620547237,33
fractional_quarter_30bp_edge,0.0,0.027361899845121322,53
fractional_quarter_30bp_edge,0.25,0.025296850800206504,49
fractional_quarter_30bp_edge,0.5,0.03252452245740836,63
fractional_quarter_30bp_edge,0.75,0.03149199793495096,61
fractional_quarter_30bp_edge,1.0,0.5338151781104801,1034
fractional_quarter_50bp_edge,-1.0,0.20702116675271037,401
fractional_quarter_50bp_edge,-0.75,0.06040268456375839,117
fractional_quarter_50bp_edge,-0.5,0.04284976768198245,83
fractional_quarter_50bp_edge,-0.25,0.035105833763551884,68
fractional_quarter_50bp_edge,0.0,0.03820340733092411,74
fractional_quarter_50bp_edge,0.25,0.05110996386164171,99
fractional_quarter_50bp_edge,0.5,0.0495611770779556,96
fractional_quarter_50bp_edge,0.75,0.06350025813113061,123
fractional_quarter_50bp_edge,1.0,0.4522457408363449,876
