sizing_config,split_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,avg_abs_position,avg_net_position,long_day_rate,short_day_rate,cash_day_rate,turnover,transaction_cost,short_borrow_cost,winner
discrete_full,1,2018-10-16,2019-04-15,124,0.04543479073578616,0.08344019530246216,0.038005404566676004,-0.16120999241903322,-0.12798812146439154,1.0,-0.06451612903225806,0.46774193548387094,0.532258064516129,0.0,29.0,0.0029,0.0006547619047619047,our_model
discrete_full,2,2019-04-16,2019-10-15,127,0.038172231492216824,0.0379640877658145,-0.00020814372640232115,-0.06618365702175977,-0.06618365702175977,1.0,1.0,1.0,0.0,0.0,2.0,0.0002,0.0,SPY
discrete_full,3,2019-10-16,2020-04-15,125,-0.05455269717552913,0.4461800342505491,0.5007327314260782,-0.33717262742332,-0.232863066552357,1.0,-0.84,0.08,0.92,0.0,22.0,0.0022,0.0011408730158730162,our_model
discrete_full,4,2020-04-16,2020-10-15,128,0.25479976125070136,0.2246822740951564,-0.030117487155544964,-0.09440438875248791,-0.06989512189093683,1.0,0.578125,0.7890625,0.2109375,0.0,44.0,0.0044,0.00026785714285714287,SPY
discrete_full,5,2020-10-16,2021-04-15,124,0.21054748956325064,0.04322614758559884,-0.1673213419776518,-0.0556425622365041,-0.1165947671333708,1.0,0.03225806451612903,0.5161290322580645,0.4838709677419355,0.0,48.0,0.0048000000000000004,0.0005952380952380952,SPY
discrete_full,6,2021-04-16,2021-10-15,128,0.07868080621323292,0.0685896732596718,-0.010091132953561122,-0.051141231875642124,-0.051141231875642235,1.0,0.9375,0.96875,0.03125,0.0,16.0,0.0016,3.968253968253968e-05,SPY
discrete_full,7,2021-10-18,2022-04-14,125,-0.014123504276864707,0.026133741022379198,0.040257245299243904,-0.12865546428446328,-0.12750745084832138,1.0,0.328,0.664,0.336,0.0,30.0,0.003,0.00041666666666666664,our_model
discrete_full,8,2022-04-18,2022-10-14,126,-0.15538071876196446,0.3920229583449073,0.5474036771068718,-0.19204729108991025,-0.12605573283239624,1.0,-0.6031746031746031,0.1984126984126984,0.8015873015873016,0.0,26.0,0.0026000000000000003,0.0010019841269841272,our_model
discrete_full,9,2022-10-17,2023-04-14,124,0.1379637095628743,0.08906268518239502,-0.048901024380479274,-0.07538750754385104,-0.12447839000562821,1.0,0.3870967741935484,0.6935483870967742,0.3064516129032258,0.0,10.0,0.001,0.000376984126984127,SPY
discrete_full,10,2023-04-17,2023-10-13,126,0.06103187577942748,0.11963735304585832,0.05860547726643084,-0.07582731851581215,-0.02814575395045149,1.0,-0.2698412698412698,0.36507936507936506,0.6349206349206349,0.0,34.0,0.0034000000000000002,0.0007936507936507935,our_model
discrete_full,11,2023-10-16,2024-04-15,125,0.16306371015310295,0.23130447960506206,0.06824076945195912,-0.05811644341141653,-0.02095178352439564,1.0,0.824,0.912,0.088,0.0,18.0,0.0018000000000000002,0.00010912698412698413,our_model
discrete_full,12,2024-04-16,2024-10-15,127,0.16372494447839836,-0.06127242283229861,-0.22499736731069697,-0.08405608805215348,-0.08770435515970965,1.0,0.05511811023622047,0.5275590551181102,0.47244094488188976,0.0,26.0,0.0026,0.0005952380952380952,SPY
discrete_full,13,2024-10-16,2025-04-15,124,-0.09150654141545045,-0.10819208674304648,-0.01668554532759603,-0.18755234489427275,-0.18755234489427308,1.0,0.7580645161290323,0.8790322580645161,0.12096774193548387,0.0,26.0,0.0026000000000000003,0.00014880952380952382,SPY
discrete_full,14,2025-04-16,2025-10-15,126,0.2639920319541349,0.0021127912982989994,-0.2618792406558359,-0.02984653787017788,-0.08949789364414751,1.0,-0.047619047619047616,0.47619047619047616,0.5238095238095238,0.0,44.0,0.0044,0.0006547619047619047,SPY
discrete_full,15,2025-10-16,2026-04-15,124,0.0681388808388852,0.11887520734276502,0.050736326503879825,-0.08884968175523811,-0.08577380838039139,1.0,0.7258064516129032,0.8629032258064516,0.13709677419354838,0.0,20.0,0.002,0.00016865079365079364,our_model
discrete_full,16,2026-04-16,2026-07-02,54,0.07403367927861226,0.07403367927861226,0.0,-0.04494652583696368,-0.04494652583696368,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SPY
fractional_half_20bp_edge,1,2018-10-16,2019-04-15,124,0.04543479073578616,0.08495141817777085,0.0395166274419847,-0.16120999241903322,-0.1246607378645701,0.9314516129032258,-0.04435483870967742,0.4596774193548387,0.5,0.04032258064516129,32.0,0.0032000000000000006,0.0006001984126984127,our_model
fractional_half_20bp_edge,2,2019-04-16,2019-10-15,127,0.038172231492216824,0.04154418176526842,0.0033719502730515938,-0.06618365702175977,-0.06618365702175966,0.984251968503937,0.984251968503937,1.0,0.0,0.0,3.5,0.00035000000000000005,0.0,our_model
fractional_half_20bp_edge,3,2019-10-16,2020-04-15,125,-0.05455269717552913,0.47573128369756335,0.5302839808730925,-0.33717262742332,-0.232863066552357,0.964,-0.836,0.08,0.904,0.016,22.5,0.0022500000000000003,0.0011160714285714287,our_model
fractional_half_20bp_edge,4,2020-04-16,2020-10-15,128,0.25479976125070136,0.21727055458439026,-0.0375292066663111,-0.09440438875248791,-0.06989512189093672,0.91015625,0.52734375,0.7421875,0.203125,0.0546875,39.0,0.0039,0.00024305555555555555,SPY
fractional_half_20bp_edge,5,2020-10-16,2021-04-15,124,0.21054748956325064,0.010691658086230849,-0.1998558314770198,-0.0556425622365041,-0.11871260893451241,0.907258064516129,-0.020161290322580645,0.4596774193548387,0.47580645161290325,0.06451612903225806,51.0,0.0051,0.0005704365079365079,SPY
fractional_half_20bp_edge,6,2021-04-16,2021-10-15,128,0.07868080621323292,0.0881403824863709,0.009459576273137982,-0.051141231875642124,-0.051141231875642346,0.9609375,0.921875,0.953125,0.03125,0.015625,17.0,0.0017000000000000001,2.48015873015873e-05,our_model
fractional_half_20bp_edge,7,2021-10-18,2022-04-14,125,-0.014123504276864707,0.03896557156212399,0.0530890758389887,-0.12865546428446328,-0.11709734468282829,0.884,0.356,0.656,0.288,0.056,34.0,0.0034000000000000002,0.00032738095238095237,our_model
fractional_half_20bp_edge,8,2022-04-18,2022-10-14,126,-0.15538071876196446,0.351156262554416,0.5065369813163805,-0.19204729108991025,-0.12605573283239646,0.9761904761904762,-0.6031746031746031,0.1984126984126984,0.7936507936507936,0.007936507936507936,24.0,0.0024000000000000002,0.0009871031746031746,our_model
fractional_half_20bp_edge,9,2022-10-17,2023-04-14,124,0.1379637095628743,0.05663137122340811,-0.08133233833946618,-0.07538750754385104,-0.13793251861712064,0.9798387096774194,0.38306451612903225,0.6854838709677419,0.29838709677419356,0.016129032258064516,11.0,0.0011,0.00036706349206349205,SPY
fractional_half_20bp_edge,10,2023-04-17,2023-10-13,126,0.06103187577942748,0.07300656299830965,0.011974687218882174,-0.07582731851581215,-0.029903100331594046,0.8412698412698413,-0.25396825396825395,0.3333333333333333,0.5873015873015873,0.07936507936507936,40.5,0.00405,0.0006845238095238097,our_model
fractional_half_20bp_edge,11,2023-10-16,2024-04-15,125,0.16306371015310295,0.2502316005612355,0.08716789040813255,-0.05811644341141653,-0.01974026374871174,0.952,0.808,0.896,0.08,0.024,17.0,0.0017000000000000001,8.928571428571429e-05,our_model
fractional_half_20bp_edge,12,2024-04-16,2024-10-15,127,0.16372494447839836,-0.02818898371268075,-0.1919139281910791,-0.08405608805215348,-0.0840560880521537,0.9094488188976378,0.03543307086614173,0.49606299212598426,0.44881889763779526,0.05511811023622047,25.5,0.00255,0.000550595238095238,SPY
fractional_half_20bp_edge,13,2024-10-16,2025-04-15,124,-0.09150654141545045,-0.11731957688235084,-0.02581303546690039,-0.18755234489427275,-0.1875523448942732,0.9516129032258065,0.7661290322580645,0.8709677419354839,0.10483870967741936,0.024193548387096774,21.0,0.0021000000000000003,0.0001140873015873016,SPY
fractional_half_20bp_edge,14,2025-04-16,2025-10-15,126,0.2639920319541349,-0.028495493149348072,-0.29248752510348297,-0.02984653787017788,-0.08598435952710348,0.8928571428571429,-0.06746031746031746,0.4523809523809524,0.5079365079365079,0.03968253968253968,41.0,0.0041,0.0006001984126984127,SPY
fractional_half_20bp_edge,15,2025-10-16,2026-04-15,124,0.0681388808388852,0.08636637832114569,0.01822749748226049,-0.08884968175523811,-0.08577380838039128,0.967741935483871,0.7096774193548387,0.8467741935483871,0.13709677419354838,0.016129032258064516,15.0,0.0015,0.00015873015873015873,our_model
fractional_half_20bp_edge,16,2026-04-16,2026-07-02,54,0.07403367927861226,0.07500180619476704,0.0009681269161547768,-0.04494652583696368,-0.04494652583696368,0.9907407407407407,0.9907407407407407,1.0,0.0,0.0,1.0,0.0001,0.0,our_model
fractional_quarter_100bp_edge,1,2018-10-16,2019-04-15,124,0.04543479073578616,0.04878870616178066,0.0033539154259945025,-0.16120999241903322,-0.05249132737257922,0.3528225806451613,0.006048387096774193,0.4274193548387097,0.4838709677419355,0.08870967741935484,16.5,0.0016500000000000002,0.00021329365079365077,our_model
fractional_quarter_100bp_edge,2,2019-04-16,2019-10-15,127,0.038172231492216824,0.021978172189978773,-0.01619405930223805,-0.06618365702175977,-0.03343504478649362,0.468503937007874,0.468503937007874,0.9921259842519685,0.0,0.007874015748031496,4.25,0.00042500000000000003,0.0,SPY
fractional_quarter_100bp_edge,3,2019-10-16,2020-04-15,125,-0.05455269717552913,0.1537580358709929,0.20831073304652203,-0.33717262742332,-0.12140147803097989,0.442,-0.406,0.056,0.896,0.048,10.25,0.0010249999999999999,0.0005257936507936509,our_model
fractional_quarter_100bp_edge,4,2020-04-16,2020-10-15,128,0.25479976125070136,0.12857394313169568,-0.12622581811900568,-0.09440438875248791,-0.0525692689663374,0.44921875,0.30859375,0.6953125,0.1875,0.1171875,20.0,0.0020000000000000005,8.928571428571429e-05,SPY
fractional_quarter_100bp_edge,5,2020-10-16,2021-04-15,124,0.21054748956325064,-0.004454845704203292,-0.21500233526745394,-0.0556425622365041,-0.08685884932859855,0.48185483870967744,-0.0907258064516129,0.4435483870967742,0.46774193548387094,0.08870967741935484,27.0,0.0027000000000000006,0.00035218253968253963,SPY
