source_group,strategy,rows_available,ml_test_rows,missing_test_rows,coverage_vs_ml_test_days,split_count,first_test_date,last_test_date,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,positive_day_rate,avg_exposure,avg_net_exposure,long_day_rate,short_day_rate,cash_day_rate,annual_turnover,total_transaction_cost,total_short_borrow_cost,rows
risk_control_rules,QQQ_momentum_20d_vol_target_15,1937,1937,0,1.0,16,2018-10-16,2026-07-02,2.292506621003832,0.16769448623636474,0.1311962637334832,1.2477070016359244,-0.17713342923846398,0.9467128082898899,0.37738771295818274,0.597232496698286,,,,,17.490496523654656,0.0134440840342536,,1937
risk_control_rules,QQQ_momentum_20d_vol_target_12,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.9009636009573097,0.14861865912794237,0.11749044411844148,1.238464154425689,-0.1630003092116119,0.9117691852657847,0.37738771295818274,0.5422893740751952,,,,,17.182514232457024,0.013207353201694153,,1937
stock_rule_strategies,SPY_QQQ_equal_positive_20d,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,2.274611656569296,0.16723955154914139,0.13357743733319852,1.2249043222630585,-0.17797662645477963,0.9396714325947384,0.40610450077599586,0.7123642007242628,,,,,29.46301086394206,0.022600000000000002,,1933
risk_control_rules,QQQ_momentum_20d_vol_target_10,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.5826979875441731,0.13138389241181714,0.10534563898151603,1.2247879402740978,-0.1490260237543547,0.8816171102329231,0.37738771295818274,0.4874894705408859,,,,,16.555105794974768,0.012725095208280215,,1937
stock_rule_strategies,QQQ_momentum_20d_long_cash,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,2.7068998247583784,0.18626143224331293,0.15060775617324032,1.2098407489401972,-0.19952151082433933,0.933540606593037,0.3781686497672012,0.660631143300569,,,,,17.208484221417486,0.0132,,1933
risk_control_rules,QQQ_momentum_20d,1937,1937,0,1.0,16,2018-10-16,2026-07-02,2.706908979380753,0.1858434638808224,0.15045307059543764,1.2085858107663505,-0.1995211629892658,0.9314473767919083,0.37738771295818274,0.6592669075890553,,,,,17.172947857511616,0.0132,,1937
risk_control_rules,QQQ_momentum_20d_trailing_4x_vol,1937,1937,0,1.0,16,2018-10-16,2026-07-02,2.649616922551415,0.18344286971177604,0.15036738693616128,1.1957032360889923,-0.19628446172704372,0.9345766246483361,0.37583892617449666,0.6572018585441404,,,,,18.213732576148686,0.014,,1937
walk_forward_ml_long_short_cost_aware,logistic_regression,1937,1937,0,1.0,16,2018-10-16,2026-07-02,3.8006013004371093,0.2264088086603524,0.19552676933644425,1.1414027937028814,-0.25166304744766765,0.8996505881835244,0.535880227155395,1.0,0.2751677852348993,0.6375838926174496,0.3624161073825503,0.0,51.38874548270521,0.03950000000000001,0.0069642857142857145,1937
stock_rule_strategies,SPY_QQQ_rotation_20d,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,2.2524404613711178,0.16620621910335265,0.14493021360761935,1.1338295859788325,-0.17934645829296325,0.9267326530187401,0.3973098810139679,0.7123642007242628,,,,,51.36471805483704,0.039400000000000004,,1933
stock_rule_strategies,SPY_QQQ_equal_positive_10d,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.9445273224431716,0.151182815970357,0.1367756273498504,1.0981409527919115,-0.1789724895972501,0.8447265627838699,0.3936885669943094,0.693740300051733,,,,,45.36782203828246,0.0348,,1933
baseline_rules_rebuilt_1bp,baseline_momentum_10d,1932,1937,5,0.9974186886938565,16,2018-10-16,2026-06-25,1.500452004633507,0.12697805535926965,0.11535182260009107,1.0942733400676607,-0.12628380270746853,1.0054975589657316,0.3669772256728778,0.6547619047619048,0.6547619047619048,0.6547619047619048,0.0,0.34523809523809523,29.34782608695652,0.022500000000000003,,1932
stock_rule_strategies,SPY_momentum_20d_long_cash,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.479515697236713,0.12567376590805934,0.11427957402610787,1.093391951382565,-0.13509531337140124,0.9302599977140557,0.3843766166580445,0.6823590274185204,,,,,17.990688049663735,0.0138,,1933
risk_control_rules,QQQ_momentum_20d_trailing_3x_vol,1937,1937,0,1.0,16,2018-10-16,2026-07-02,2.1813667638783327,0.16248962999312244,0.1481160054673798,1.0909309310927007,-0.1978629072663508,0.8212233017196545,0.3670624677336087,0.6442953020134228,,,,,23.938048528652555,0.0184,,1937
stock_rule_strategies,SPY_momentum_10d_long_cash,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.4516088583244242,0.12401394911487507,0.11507197381929941,1.0737568940750166,-0.13668255719677036,0.9073136445372663,0.3631660631143301,0.6482152095188826,,,,,28.941541645111226,0.0222,,1933
baseline_rules_rebuilt_1bp,baseline_momentum_20d,1932,1937,5,0.9974186886938565,16,2018-10-16,2026-06-25,1.440150754250801,0.12339531299468987,0.11545360588642682,1.065876151245896,-0.15745466653346285,0.7836878748110361,0.38768115942028986,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.0,0.30952380952380953,18.52173913043478,0.0142,,1932
metals_rotation_rules,GLD_momentum_60d_long_cash,1937,1937,0,1.0,16,2018-10-16,2026-07-02,2.1078604386243587,0.15895961149201532,0.15177243743472094,1.0485674919404373,-0.18540188442200922,0.8573786182787314,0.38977800722767164,0.6974703149199794,,,,,8.846670108415076,0.013600000000000001,,1937
stock_rule_strategies,SPY_QQQ_rotation_10d,1933,1937,4,0.9979349509550852,16,2018-10-16,2026-06-26,1.900894563483515,0.14894447985916992,0.14626779489004674,1.0227413647944836,-0.18976554696846837,0.7848868366180226,0.3926539058458355,0.693740300051733,,,,,74.5700982928091,0.0572,,1933
risk_control_rules,QQQ_momentum_20d_trailing_2x_vol,1937,1937,0,1.0,16,2018-10-16,2026-07-02,1.8292234366651807,0.14488284013510233,0.14578870902633806,1.001271277040824,-0.23702941889710716,0.6112441266119586,0.3582860092927207,0.6272586473928756,,,,,32.004130098089824,0.0246,,1937
metals_rotation_rules,buy_hold_GLD,1937,1937,0,1.0,16,2018-10-16,2026-07-02,2.2981874324770373,0.16795639991439026,0.17354648028301584,0.9820635304928107,-0.26210926006964497,0.6407877381736251,0.5436241610738255,1.0,,,,,0.0,0.0,,1937
